100 2475
0 2 69
0 5 8
0 7 50
0 8 89
0 9 68
0 10 46
0 11 21
0 16 95
0 17 29
0 18 60
0 19 85
0 22 2
0 26 98
0 27 66
0 28 28
0 29 24
0 32 25
0 33 55
0 34 49
0 36 15
0 37 87
0 39 72
0 40 77
0 42 99
0 43 10
0 44 84
0 47 4
0 48 24
0 50 33
0 55 64
0 57 84
0 58 22
0 66 43
0 67 59
0 68 29
0 69 99
0 71 32
0 75 65
0 77 92
0 78 7
0 81 92
0 89 38
0 90 79
0 91 66
0 92 51
0 93 45
0 95 41
1 2 92
1 3 21
1 4 36
1 7 19
1 8 65
1 9 82
1 10 4
1 15 14
1 17 48
1 18 71
1 21 42
1 23 80
1 25 65
1 26 38
1 27 33
1 28 92
1 30 10
1 32 62
1 34 81
1 35 24
1 39 56
1 43 4
1 46 56
1 47 7
1 50 90
1 55 33
1 57 56
1 63 57
1 64 44
1 66 89
1 68 10
1 69 83
1 70 51
1 71 75
1 74 40
1 75 31
1 76 48
1 77 36
1 78 24
1 80 9
1 82 10
1 83 89
1 84 59
1 85 38
1 86 88
1 87 42
1 88 57
1 89 63
1 91 95
1 92 17
1 93 51
1 94 60
1 96 80
1 99 56
2 3 22
2 4 5
2 5 2
2 6 56
2 7 45
2 9 41
2 10 19
2 11 43
2 17 16
2 18 82
2 19 52
2 21 55
2 24 57
2 25 35
2 26 59
2 29 45
2 30 6
2 31 4
2 33 69
2 34 57
2 36 47
2 37 70
2 38 63
2 40 52
2 44 69
2 45 66
2 53 79
2 54 90
2 57 81
2 58 54
2 60 59
2 61 35
2 64 46
2 66 91
2 69 83
2 73 61
2 77 8
2 78 93
2 81 94
2 82 31
2 83 56
2 85 9
2 88 63
2 90 54
2 91 29
2 94 93
2 95 37
2 96 88
2 97 82
2 98 55
3 6 24
3 7 96
3 9 11
3 11 92
3 15 44
3 17 25
3 20 21
3 22 51
3 23 20
3 25 71
3 26 64
3 30 56
3 31 5
3 32 27
3 35 49
3 37 32
3 38 6
3 40 6
3 41 73
3 42 53
3 44 19
3 49 66
3 53 71
3 54 93
3 55 35
3 56 41
3 58 55
3 60 2
3 61 68
3 62 8
3 66 63
3 67 80
3 70 49
3 71 36
3 74 59
3 76 87
3 77 12
3 80 20
3 81 76
3 82 34
3 83 61
3 85 90
3 87 63
3 89 33
3 93 42
3 98 33
3 99 7
4 5 76
4 8 78
4 10 18
4 13 5
4 14 42
4 15 58
4 28 40
4 31 78
4 32 90
4 34 85
4 38 74
4 41 7
4 42 75
4 47 16
4 48 16
4 49 40
4 51 69
4 52 8
4 54 29
4 56 51
4 59 76
4 61 36
4 63 85
4 64 39
4 65 24
4 67 17
4 69 58
4 70 6
4 73 64
4 74 46
4 76 12
4 78 77
4 80 82
4 81 87
4 82 85
4 83 82
4 84 74
4 86 15
4 87 74
4 88 38
4 89 26
4 90 73
4 92 98
4 93 94
4 95 20
4 98 30
5 8 8
5 9 55
5 10 53
5 11 31
5 12 6
5 14 62
5 16 70
5 17 98
5 18 69
5 19 81
5 20 46
5 21 25
5 23 69
5 24 17
5 25 38
5 30 31
5 31 45
5 33 52
5 34 2
5 36 66
5 40 17
5 42 34
5 43 13
5 45 96
5 46 57
5 48 78
5 51 17
5 52 83
5 53 50
5 55 24
5 59 91
5 60 39
5 61 47
5 63 30
5 67 35
5 68 67
5 69 63
5 70 15
5 71 55
5 73 16
5 78 3
5 79 51
5 83 90
5 86 67
5 89 30
5 91 96
5 95 36
5 96 43
5 97 17
5 98 79
6 9 22
6 10 34
6 11 97
6 13 55
6 16 67
6 17 63
6 18 48
6 20 100
6 23 45
6 24 72
6 25 21
6 27 82
6 28 4
6 29 99
6 30 5
6 31 78
6 33 37
6 37 92
6 40 62
6 42 45
6 44 27
6 45 48
6 46 48
6 53 96
6 54 80
6 55 70
6 56 75
6 58 6
6 59 15
6 60 79
6 64 69
6 67 76
6 68 75
6 69 31
6 73 51
6 74 86
6 76 86
6 79 32
6 84 42
6 89 35
6 91 75
6 94 20
6 95 63
6 98 57
6 99 46
7 9 15
7 11 51
7 12 92
7 13 48
7 17 88
7 19 18
7 22 88
7 25 9
7 26 47
7 31 79
7 34 83
7 36 46
7 37 19
7 41 56
7 42 96
7 44 58
7 48 23
7 50 34
7 51 43
7 52 87
7 54 94
7 55 25
7 56 14
7 60 89
7 62 62
7 64 67
7 66 22
7 67 66
7 69 16
7 70 80
7 71 73
7 79 81
7 81 9
7 84 78
7 86 28
7 88 87
7 90 71
7 91 69
7 93 46
7 94 74
7 96 53
7 99 37
8 9 12
8 15 47
8 18 48
8 19 28
8 20 19
8 21 14
8 22 23
8 23 65
8 25 32
8 30 57
8 33 69
8 34 95
8 35 5
8 36 94
8 37 20
8 40 19
8 41 58
8 42 21
8 43 71
8 44 81
8 46 87
8 48 13
8 49 98
8 53 82
8 54 32
8 55 85
8 57 64
8 58 24
8 59 61
8 61 36
8 66 9
8 67 79
8 69 29
8 73 85
8 74 18
8 83 29
8 84 16
8 85 25
8 87 82
8 91 60
8 96 51
8 97 27
9 11 38
9 12 91
9 13 93
9 15 95
9 17 7
9 18 54
9 21 26
9 23 93
9 26 97
9 27 24
9 30 81
9 31 94
9 32 23
9 33 10
9 34 2
9 35 21
9 36 39
9 37 15
9 38 54
9 40 97
9 41 91
9 42 7
9 44 85
9 45 14
9 47 75
9 49 63
9 51 51
9 53 28
9 55 2
9 56 38
9 57 69
9 60 69
9 61 10
9 63 7
9 67 64
9 71 16
9 73 77
9 76 38
9 77 100
9 82 69
9 83 27
9 84 31
9 85 63
9 87 9
9 88 16
9 89 58
9 90 79
9 94 66
9 97 31
9 99 91
10 11 90
10 12 82
10 13 9
10 16 44
10 17 86
10 20 76
10 25 93
10 29 3
10 30 84
10 31 76
10 33 68
10 35 44
10 36 43
10 38 19
10 40 17
10 43 46
10 44 77
10 45 59
10 48 33
10 51 23
10 52 10
