50 612
0 1 28
0 2 50
0 3 16
0 4 8
0 8 11
0 9 28
0 10 9
0 12 39
0 13 10
0 14 46
0 15 40
0 17 26
0 18 26
0 19 17
0 23 16
0 24 50
0 25 25
0 26 31
0 27 11
0 28 3
0 29 9
0 32 18
0 34 22
0 37 31
0 40 25
0 41 20
0 42 47
0 43 4
0 47 8
0 49 14
1 3 3
1 4 49
1 7 7
1 8 27
1 9 47
1 10 48
1 11 7
1 15 22
1 19 12
1 20 7
1 23 27
1 24 35
1 28 38
1 30 34
1 33 44
1 35 50
1 38 6
1 40 11
1 42 9
1 43 14
1 48 49
2 4 17
2 5 41
2 6 25
2 7 19
2 11 34
2 12 49
2 16 26
2 17 28
2 18 33
2 19 29
2 23 46
2 25 22
2 26 32
2 27 15
2 28 27
2 29 46
2 31 44
2 33 12
2 37 48
2 38 38
2 41 3
2 46 47
3 5 32
3 9 15
3 12 6
3 13 40
3 15 31
3 16 23
3 17 34
3 21 4
3 22 12
3 26 16
3 30 23
3 32 5
3 33 22
3 36 4
3 37 25
3 38 34
3 39 47
3 43 32
3 44 21
3 46 35
3 48 43
3 49 34
4 8 43
4 10 12
4 13 24
4 14 18
4 15 35
4 16 41
4 18 31
4 19 39
4 21 28
4 22 35
4 24 36
4 27 8
4 31 31
4 33 21
4 34 5
4 36 28
4 37 14
4 39 6
4 42 20
4 43 16
4 44 48
5 6 11
5 8 50
5 9 11
5 12 42
5 13 19
5 15 27
5 18 26
5 19 32
5 20 14
5 24 47
5 25 38
5 27 48
5 28 33
5 32 42
5 33 21
5 34 4
5 38 21
5 40 17
5 41 24
5 42 10
5 43 33
5 46 44
5 48 32
5 49 3
6 32 23
6 33 34
6 47 45
6 19 26
6 20 26
6 31 14
6 28 13
6 29 50
6 37 48
7 32 14
7 33 22
7 35 16
7 47 48
7 8 14
7 41 12
7 42 49
7 44 16
7 14 50
7 15 18
7 48 20
7 49 4
7 18 8
7 20 11
7 9 46
7 27 33
7 28 32
7 10 26
7 30 49
8 10 13
8 12 31
8 13 15
8 14 4
8 16 13
8 18 41
8 20 38
8 21 49
8 23 50
8 24 11
8 25 48
8 26 19
8 27 20
8 28 26
8 29 48
8 31 2
8 32 37
8 35 6
8 36 14
8 37 37
8 39 48
8 45 38
8 46 15
8 49 32
9 14 49
9 19 30
9 20 13
9 23 43
9 24 2
9 27 3
9 28 10
9 29 50
9 30 49
9 31 41
9 34 19
9 37 8
9 38 25
9 39 36
9 42 49
9 44 34
9 45 11
10 12 4
10 13 5
10 16 4
10 18 43
10 19 28
10 20 50
10 22 18
10 24 21
10 25 25
10 26 3
10 28 5
10 29 44
10 31 46
10 35 49
10 36 12
10 38 41
10 39 42
10 40 2
10 41 17
10 45 33
10 46 27
10 47 30
10 48 45
10 49 39
11 32 31
11 35 12
11 38 6
11 34 8
11 14 27
11 15 41
11 49 22
11 18 8
11 20 41
11 22 44
11 23 9
11 24 40
11 25 50
11 26 8
11 27 24
11 29 47
12 15 49
12 16 12
12 17 50
12 18 48
12 19 14
12 23 35
12 24 32
12 27 26
12 30 35
12 31 32
12 32 43
12 33 50
12 34 38
12 36 47
12 37 43
12 38 40
12 39 25
12 41 34
12 44 46
12 46 49
12 49 18
13 14 50
13 15 21
13 17 17
13 19 45
13 24 19
13 27 47
13 28 36
13 29 15
13 32 14
13 33 18
13 36 20
13 37 25
13 38 40
13 39 17
13 41 26
13 42 46
13 46 25
13 47 5
13 49 49
14 17 34
14 20 38
14 22 13
14 24 21
14 25 40
14 28 24
14 31 9
14 32 19
14 33 49
14 36 20
14 38 21
14 40 23
14 42 4
14 44 31
14 46 46
14 47 14
14 49 15
15 16 35
15 18 13
15 20 41
15 23 43
15 24 38
15 25 12
15 27 45
