100 990
0 2 42
0 5 95
0 8 71
0 17 28
0 26 37
0 30 72
0 31 60
0 38 22
0 42 44
0 46 81
0 51 99
0 55 56
0 62 90
0 63 65
0 66 52
0 74 40
0 76 26
0 77 48
0 84 73
0 86 90
0 91 12
0 93 84
0 96 13
1 32 89
1 80 92
1 34 54
1 86 26
1 19 21
1 71 84
1 72 11
1 75 86
1 44 59
1 77 49
1 15 46
1 48 98
1 49 44
1 51 31
1 54 89
1 40 78
1 88 74
1 83 73
1 58 79
1 90 49
2 5 7
2 8 63
2 9 30
2 12 64
2 16 45
2 17 30
2 19 88
2 21 40
2 30 19
2 38 6
2 44 41
2 46 59
2 47 56
2 53 82
2 64 73
2 73 74
2 74 100
2 75 30
2 92 60
2 95 15
2 99 94
3 33 78
3 66 34
3 36 45
3 5 59
3 6 27
3 71 91
3 60 59
3 74 29
3 43 41
3 44 84
3 77 20
3 78 45
3 45 91
3 49 99
3 20 6
3 46 71
3 22 27
3 87 91
3 26 96
3 28 48
3 62 52
4 7 54
4 29 27
4 18 28
4 21 83
4 56 39
4 90 62
4 95 27
4 58 5
4 30 63
4 63 21
5 9 31
5 12 51
5 18 72
5 22 20
5 24 85
5 30 15
5 32 72
5 36 83
5 37 8
5 38 64
5 39 30
5 43 14
5 49 66
5 56 71
5 57 54
5 60 86
5 63 66
5 70 23
5 71 31
5 82 86
5 83 9
5 90 67
5 92 86
5 96 49
5 97 91
5 98 97
5 99 49
6 65 5
6 98 42
6 35 53
6 70 73
6 39 78
6 40 54
6 9 34
6 71 52
6 14 54
6 16 38
6 18 50
6 55 74
6 26 8
6 91 80
6 90 39
6 95 87
7 68 58
7 8 17
7 41 65
7 42 76
7 43 85
7 13 38
7 45 80
7 40 92
7 84 96
7 53 61
7 54 65
7 9 7
7 92 21
7 29 93
8 14 42
8 17 96
8 20 52
8 22 44
8 24 45
8 26 48
8 34 5
8 37 97
8 38 53
8 47 54
8 49 27
8 53 68
8 63 91
8 69 14
8 70 11
8 72 89
8 74 9
8 75 11
8 76 70
8 91 79
8 96 98
9 64 42
9 35 47
9 54 73
9 71 99
9 73 29
9 74 6
9 44 73
9 76 12
9 49 92
9 30 4
9 84 24
9 21 23
9 86 4
9 31 67
9 92 23
9 29 46
9 69 3
10 19 88
10 20 20
10 30 17
10 33 78
10 37 50
10 57 35
10 61 84
10 62 55
10 65 81
10 73 3
10 75 43
10 76 73
10 79 35
10 83 94
10 84 79
10 85 62
10 88 31
10 89 14
10 90 6
10 92 64
10 93 84
10 94 25
11 14 54
11 35 96
11 36 41
11 39 76
11 40 7
11 42 51
11 46 88
11 51 85
11 20 9
11 53 58
11 54 57
11 87 99
11 57 87
12 17 8
12 72 35
12 45 85
12 79 54
12 80 80
12 81 65
12 84 49
12 24 68
12 55 35
12 88 59
12 52 25
12 26 98
12 29 93
13 17 28
13 38 74
13 73 62
13 75 20
13 79 60
13 92 95
13 81 83
13 83 55
13 20 83
13 55 71
13 89 44
13 47 45
13 28 95
13 30 26
14 25 29
14 31 47
14 35 88
14 42 32
14 48 38
14 51 96
14 59 12
14 60 95
14 65 51
14 67 3
14 69 7
14 70 73
14 77 70
