50 980
0 1 11
0 2 8
0 4 9
0 5 14
0 6 3
0 7 9
0 10 44
0 15 12
0 16 10
0 17 9
0 18 13
0 19 3
0 20 19
0 21 24
0 22 49
0 23 25
0 24 9
0 25 8
0 26 25
0 28 35
0 29 26
0 30 47
0 31 34
0 32 41
0 33 27
0 34 16
0 36 19
0 38 22
0 39 37
0 40 18
0 41 31
0 42 43
0 43 31
0 46 4
0 47 13
0 48 23
0 49 28
1 2 22
1 5 41
1 6 14
1 7 16
1 8 26
1 10 14
1 11 24
1 12 34
1 13 46
1 14 21
1 15 26
1 17 12
1 19 49
1 20 7
1 21 25
1 22 7
1 23 35
1 24 40
1 25 23
1 26 44
1 27 44
1 28 3
1 29 36
1 32 2
1 33 44
1 34 30
1 35 4
1 36 44
1 37 4
1 38 50
1 39 34
1 41 24
1 43 48
1 44 6
1 45 47
1 46 2
1 47 17
1 48 29
1 49 40
2 3 8
2 5 35
2 6 17
2 8 21
2 9 13
2 10 39
2 11 10
2 13 26
2 15 43
2 16 3
2 17 19
2 19 19
2 20 9
2 21 32
2 22 43
2 23 22
2 25 6
2 27 35
2 28 8
2 29 12
2 30 47
2 33 45
2 34 18
2 35 49
2 37 48
2 39 19
2 43 38
2 45 24
2 46 50
2 47 37
2 48 34
2 49 4
3 4 43
3 6 44
3 7 11
3 8 6
3 9 49
3 10 32
3 11 39
3 12 36
3 13 5
3 14 46
3 15 49
3 16 25
3 17 15
3 18 46
3 19 16
3 20 3
3 21 40
3 22 18
3 23 21
3 25 38
3 27 8
3 28 43
3 29 8
3 30 29
3 31 6
3 32 38
3 33 6
3 35 22
3 36 23
3 37 12
3 38 4
3 41 5
3 42 13
3 44 39
3 45 21
3 46 9
3 47 19
3 48 5
3 49 18
4 5 9
4 7 6
4 8 42
4 11 31
4 12 33
4 13 10
4 14 17
4 15 18
4 16 17
4 17 37
4 18 22
4 19 49
4 20 36
4 21 4
4 23 25
4 25 26
4 26 17
4 27 12
4 28 4
4 29 14
4 30 45
4 31 29
4 32 15
4 34 39
4 35 29
4 36 5
4 37 23
4 38 37
4 39 36
4 40 17
4 41 40
4 42 43
4 43 6
4 44 21
4 45 45
4 46 42
4 47 10
4 48 42
4 49 14
5 6 9
5 7 38
5 8 31
5 10 49
5 11 5
5 12 45
5 13 39
5 14 44
5 15 12
5 16 27
