50 245
0 32 44
0 34 13
0 41 17
0 12 22
0 45 34
0 46 27
0 16 39
0 25 3
0 29 15
1 32 3
1 2 46
1 3 7
1 5 15
1 6 5
1 10 20
1 44 35
1 16 8
1 22 34
1 26 3
1 27 24
1 30 26
2 5 31
2 7 43
2 10 2
2 11 33
2 46 14
2 16 18
2 14 26
2 24 13
3 32 46
3 48 11
3 4 23
3 40 21
3 10 34
3 14 41
3 47 4
3 16 7
3 17 4
3 20 37
4 40 45
4 10 3
4 44 47
4 13 3
4 48 50
4 19 18
4 20 45
4 26 26
4 28 33
4 31 11
5 32 9
5 36 7
5 37 34
5 6 14
5 9 3
5 42 29
5 45 25
5 16 5
5 17 48
5 20 36
5 25 8
5 27 25
5 28 30
5 30 41
6 34 18
6 35 39
6 44 40
6 14 38
6 49 25
6 20 46
6 24 49
6 27 39
7 43 45
7 45 14
7 13 9
7 18 15
7 19 31
7 23 15
7 26 17
8 34 27
8 36 2
8 38 24
8 39 28
8 16 22
8 49 2
8 30 40
9 32 36
9 38 19
9 39 12
9 10 32
9 13 28
9 14 16
9 15 3
9 23 21
9 27 43
9 30 15
9 31 48
10 33 16
10 35 32
10 32 7
10 43 45
10 13 33
10 47 21
10 19 48
10 22 32
10 36 22
10 31 27
11 32 27
11 36 19
11 39 16
11 44 18
11 12 5
11 13 10
11 15 24
11 17 48
11 22 25
11 24 41
11 29 39
12 43 4
12 38 36
12 39 14
12 46 5
12 28 48
13 32 13
13 33 36
13 14 35
13 47 31
13 48 32
13 18 34
13 46 11
13 22 11
13 41 41
13 24 34
13 29 2
13 30 11
14 38 7
14 18 50
14 21 2
14 23 30
14 25 27
14 37 30
15 32 2
15 34 34
15 49 16
15 42 31
15 43 20
15 48 41
15 17 6
15 22 9
15 27 31
16 45 47
16 18 36
16 23 5
16 28 30
17 36 10
17 40 6
17 41 23
17 42 20
17 45 18
17 48 18
17 19 40
18 48 39
18 35 32
18 39 37
18 40 6
18 19 49
18 26 9
18 28 8
19 44 42
19 20 27
19 27 7
20 32 39
20 22 49
20 26 8
20 27 47
21 23 38
22 38 26
22 47 14
22 48 46
22 42 49
22 31 10
23 47 28
23 29 8
24 34 48
24 38 38
24 39 16
24 25 39
24 26 21
24 47 28
25 37 12
25 38 5
26 36 38
26 45 36
27 32 38
27 39 48
27 45 28
27 48 48
28 34 30
28 44 37
28 48 30
28 30 45
29 43 41
29 37 50
29 40 25
29 48 19
30 35 3
30 39 29
30 43 41
30 44 40
30 46 24
31 33 31
31 44 42
31 45 36
31 46 21
31 48 3
31 49 28
31 41 15
32 35 40
32 36 38
32 37 20
33 34 31
33 41 34
33 49 36
34 39 14
34 44 20
34 49 35
35 39 42
35 44 44
35 46 14
35 48 25
37 39 44
37 44 14
37 48 35
37 49 30
39 44 30
39 47 34
40 43 3
41 44 21
42 43 20
42 49 20
43 44 38
43 46 40
44 46 40
47 48 27
47 49 38
48 49 39
